loss,accuracy
1721.972168,0.5
0.686572731,0.518750012
0.6892187,0.501250029
5.131135941,0.497500002
1.149376869,0.502499998
3.00287199,0.497500002
3.690949202,0.507499993
0.795558333,0.768750012
0.97,0.8
5.074738979,0.527499974
4.67,0.69
0.0851,0.79
2.12,0.53
